account_id,client_id,account_type,opened_date,status
2054,1029,Schwab One Brokerage,2022-10-02,Open
2055,1029,Vanguard Brokerage,2021-04-09,Open
2056,1030,Webull Cash Brokerage,2022-07-18,Open
2057,1030,E*TRADE Brokerage,2018-09-16,Open
2058,1030,Vanguard Brokerage,2019-09-29,Closed
2059,1031,E*TRADE Brokerage,2024-02-26,Open
2060,1031,Swissquote Trading Account,2024-01-10,Closed
2061,1032,Robinhood Individual,2019-10-04,Open
2062,1032,Schwab One Brokerage,2025-07-07,Open
2063,1032,Questrade Cash Account,2025-01-24,Open
2064,1033,E*TRADE Brokerage,2019-03-08,Open
2065,1033,Schwab One Brokerage,2019-07-12,Open
2066,1034,Schwab One Brokerage,2023-02-13,Open
2067,1034,Webull Cash Brokerage,2020-02-06,Open
2068,1034,Saxo Individual Singapore Account,2018-12-14,Open
2069,1035,Interactive Brokers Japanese Brokerage,2023-07-27,Open
2070,1036,Saxo Individual Singapore Account,2022-09-16,Open
2071,1036,Swissquote Trading Account,2018-06-14,Open
2072,1036,Questrade Cash Account,2024-03-26,Closed
2073,1037,Questrade Cash Account,2026-03-20,Open
2074,1038,The Fidelity Account,2022-07-22,Closed
2075,1038,E*TRADE Brokerage,2023-05-09,Open
2076,1039,Swissquote Trading Account,2018-08-10,Closed
2077,1039,Robinhood Individual,2023-07-29,Open
2078,1040,E*TRADE Brokerage,2020-01-30,Open
2079,1041,Swissquote Trading Account,2019-08-22,Closed
2080,1041,Robinhood Individual,2022-10-26,Open
2081,1041,E*TRADE Brokerage,2025-11-24,Closed
2082,1042,Schwab One Brokerage,2020-12-18,Open
2083,1042,The Fidelity Account,2023-07-28,Closed
2084,1042,Vanguard Brokerage,2019-12-12,Open
2085,1043,Swissquote Trading Account,2020-05-14,Open
2086,1043,Schwab One Brokerage,2018-07-31,Closed
2087,1043,Vanguard Brokerage,2019-08-10,Open
2088,1044,Robinhood Individual,2022-01-12,Closed
2089,1044,Vanguard Brokerage,2020-09-22,Open
2090,1045,Vanguard Brokerage,2023-06-22,Closed
2091,1045,Schwab One Brokerage,2023-10-03,Open
2092,1045,E*TRADE Brokerage,2019-04-07,Closed
2093,1046,The Fidelity Account,2023-12-07,Open
2094,1046,E*TRADE Brokerage,2025-04-01,Open
2095,1047,Robinhood Individual,2025-12-15,Open
2096,1047,The Fidelity Account,2019-05-27,Open
2097,1047,E*TRADE Brokerage,2020-08-07,Open
2098,1048,Vanguard Brokerage,2024-07-09,Open
2099,1049,Webull Cash Brokerage,2023-11-29,Closed
2100,1049,Vanguard Brokerage,2023-04-27,Closed
2101,1050,Webull Cash Brokerage,2020-04-18,Open
2102,1051,Questrade Cash Account,2020-12-25,Open
2103,1052,Schwab One Brokerage,2023-08-22,Open
2104,1052,The Fidelity Account,2020-10-01,Closed
2105,1052,Webull Cash Brokerage,2021-12-25,Closed
2106,1053,The Fidelity Account,2021-09-11,Open
2107,1053,Robinhood Individual,2024-06-06,Closed
2108,1053,E*TRADE Brokerage,2022-01-16,Open
2109,1054,Webull Cash Brokerage,2018-11-26,Open
2110,1054,E*TRADE Brokerage,2023-05-11,Open
2111,1055,The Fidelity Account,2018-09-06,Closed
2112,1055,E*TRADE Brokerage,2020-04-30,Closed
2113,1055,Schwab One Brokerage,2024-11-09,Open
2114,1056,Schwab One Brokerage,2025-05-25,Closed
2115,1056,Robinhood Individual,2019-08-19,Closed
2116,1056,The Fidelity Account,2024-02-02,Open
2117,1057,Vanguard Brokerage,2023-03-15,Open
2118,1057,Saxo Individual Singapore Account,2024-01-14,Closed
2119,1058,Vanguard Brokerage,2025-05-27,Open
2120,1059,Webull Cash Brokerage,2025-01-19,Closed
2121,1059,Questrade Cash Account,2023-03-30,Open
2122,1060,Vanguard Brokerage,2024-09-29,Open
2123,1060,Schwab One Brokerage,2022-10-21,Closed
2124,1060,Webull Cash Brokerage,2024-05-20,Open
2125,1061,E*TRADE Brokerage,2019-10-07,Open
2126,1062,Vanguard Brokerage,2018-04-22,Open
2127,1062,Robinhood Individual,2020-02-29,Open
2128,1063,Robinhood Individual,2025-06-02,Open
2129,1063,E*TRADE Brokerage,2022-06-24,Open
2130,1064,Schwab One Brokerage,2023-06-05,Open
2131,1064,Questrade Cash Account,2019-03-27,Open
2132,1064,Saxo Individual Singapore Account,2021-04-04,Open
2133,1065,Robinhood Individual,2025-05-25,Open
2134,1065,Saxo Individual Singapore Account,2022-11-23,Open
2135,1066,Webull Cash Brokerage,2025-02-11,Open
2136,1067,Interactive Brokers Japanese Brokerage,2019-02-10,Open
2137,1068,Vanguard Brokerage,2022-02-27,Open
2138,1068,The Fidelity Account,2018-10-02,Open
2139,1069,E*TRADE Brokerage,2021-01-07,Open
2140,1070,Swissquote Trading Account,2018-02-02,Open
2141,1070,Webull Cash Brokerage,2019-12-26,Open
2142,1070,Robinhood Individual,2025-12-31,Closed
2143,1071,E*TRADE Brokerage,2026-02-23,Open
2144,1071,Robinhood Individual,2023-09-05,Closed
2145,1072,Webull Cash Brokerage,2024-04-27,Open
2146,1073,Saxo Individual Singapore Account,2019-03-02,Open
2147,1073,Webull Cash Brokerage,2019-04-28,Open
2148,1073,E*TRADE Brokerage,2022-09-13,Open
2149,1074,Vanguard Brokerage,2022-10-13,Open
2150,1074,Robinhood Individual,2025-04-06,Open
2151,1075,Questrade Cash Account,2019-03-20,Open
2152,1075,E*TRADE Brokerage,2024-01-28,Open
2153,1076,Swissquote Trading Account,2025-10-17,Open
2154,1076,Robinhood Individual,2018-05-03,Open
2155,1077,Vanguard Brokerage,2024-04-27,Open
2156,1078,Webull Cash Brokerage,2019-12-04,Closed
2157,1078,Schwab One Brokerage,2020-03-12,Open
2158,1078,E*TRADE Brokerage,2019-12-11,Open
2159,1079,Vanguard Brokerage,2023-07-20,Open
2160,1079,E*TRADE Brokerage,2022-04-19,Closed
2161,1079,Robinhood Individual,2024-07-26,Open
2162,1080,Schwab One Brokerage,2021-03-22,Open
2163,1080,Vanguard Brokerage,2025-08-14,Open
2164,1081,Vanguard Brokerage,2025-04-25,Open
2165,1082,Robinhood Individual,2018-05-01,Open
2166,1082,Schwab One Brokerage,2023-05-20,Open
2167,1082,Swissquote Trading Account,2018-11-09,Open
2168,1083,Robinhood Individual,2026-01-14,Open
2169,1083,Schwab One Brokerage,2023-04-05,Open
2170,1084,Saxo Individual Singapore Account,2020-04-08,Closed
2171,1084,Schwab One Brokerage,2024-02-27,Closed
2172,1084,Robinhood Individual,2022-10-20,Open
2173,1085,Swissquote Trading Account,2022-09-25,Closed
2174,1086,Saxo Individual Singapore Account,2021-02-15,Closed
2175,1087,Webull Cash Brokerage,2021-02-21,Open
2176,1088,Robinhood Individual,2022-11-17,Open
2177,1089,Interactive Brokers Japanese Brokerage,2025-06-15,Closed
2178,1090,Robinhood Individual,2018-08-24,Open
2179,1090,Webull Cash Brokerage,2020-02-02,Closed
2180,1090,Vanguard Brokerage,2026-01-27,Open
2181,1091,Robinhood Individual,2019-11-07,Open
2182,1091,Interactive Brokers Japanese Brokerage,2021-05-15,Open
2183,1091,Questrade Cash Account,2024-10-13,Open
2184,1092,Robinhood Individual,2022-02-25,Open
2185,1093,Vanguard Brokerage,2024-07-30,Closed
2186,1094,E*TRADE Brokerage,2025-05-13,Open
2187,1094,Robinhood Individual,2018-01-20,Open
2188,1095,Questrade Cash Account,2025-08-25,Open
2189,1095,Robinhood Individual,2023-03-17,Open
2190,1096,Interactive Brokers Japanese Brokerage,2019-11-29,Open
2191,1096,E*TRADE Brokerage,2022-04-09,Closed
2192,1097,E*TRADE Brokerage,2020-05-01,Closed
2193,1098,Vanguard Brokerage,2019-04-01,Open
2194,1098,Webull Cash Brokerage,2019-04-22,Closed
2195,1099,E*TRADE Brokerage,2022-12-30,Open
2196,1099,The Fidelity Account,2024-10-12,Open
2197,1099,Interactive Brokers Japanese Brokerage,2023-06-27,Open
2198,1100,Vanguard Brokerage,2021-06-10,Closed
2199,1100,Questrade Cash Account,2020-09-27,Closed
2200,1101,Vanguard Brokerage,2018-12-10,Open
2201,1102,The Fidelity Account,2023-08-09,Open
2202,1102,Robinhood Individual,2021-12-22,Closed
2203,1103,Schwab One Brokerage,2024-08-06,Open
2204,1103,Vanguard Brokerage,2024-10-30,Closed
2205,1103,Webull Cash Brokerage,2023-11-06,Closed
2206,1104,E*TRADE Brokerage,2020-01-09,Closed
2207,1105,Schwab One Brokerage,2022-02-11,Closed
2208,1105,Webull Cash Brokerage,2024-05-05,Closed
2209,1105,Vanguard Brokerage,2022-02-23,Open
2210,1106,Questrade Cash Account,2022-04-03,Open
2211,1107,Robinhood Individual,2025-05-24,Open
2212,1107,The Fidelity Account,2019-03-22,Closed
2213,1108,The Fidelity Account,2019-05-20,Closed
2214,1109,Webull Cash Brokerage,2025-08-27,Closed
2215,1109,Vanguard Brokerage,2022-04-15,Open
2216,1109,Questrade Cash Account,2021-05-13,Closed
2217,1110,Questrade Cash Account,2026-01-16,Open
2218,1111,Saxo Individual Singapore Account,2023-04-17,Open
2219,1111,Robinhood Individual,2025-04-16,Open
2220,1112,Robinhood Individual,2024-01-16,Open
2221,1112,Vanguard Brokerage,2024-10-25,Closed
2222,1113,E*TRADE Brokerage,2025-11-11,Open
2223,1113,Webull Cash Brokerage,2019-10-19,Open
2224,1113,Vanguard Brokerage,2023-01-13,Closed
2225,1114,Saxo Individual Singapore Account,2021-11-29,Open
2226,1115,Webull Cash Brokerage,2021-12-30,Closed
2227,1115,Saxo Individual Singapore Account,2019-10-27,Open
2228,1116,Questrade Cash Account,2021-05-30,Open
2229,1116,Robinhood Individual,2019-03-09,Open
2230,1117,Vanguard Brokerage,2022-11-02,Closed
2231,1117,The Fidelity Account,2024-05-15,Open
2232,1118,E*TRADE Brokerage,2023-03-04,Open
2233,1119,Webull Cash Brokerage,2022-03-29,Open
2234,1119,E*TRADE Brokerage,2019-05-24,Closed
2235,1119,Saxo Individual Singapore Account,2023-09-10,Open
2236,1120,Webull Cash Brokerage,2025-08-27,Closed
2237,1120,E*TRADE Brokerage,2022-12-14,Open
2238,1120,Interactive Brokers Japanese Brokerage,2018-07-28,Open
